INSEE;lon;lat
200040459;4.83;44.58
200040210;6.29;43.70
248719361;1.50;45.83
247000821;6.71;47.71
200067023;-1.40;49.02
200071504;0.61;48.31
200070670;-1.66;48.54
248719353;1.75;45.75
200034056;2.06;43.69
200067825;6.01;44.49
243800984;5.59;45.38
200070431;5.37;45.17
243500774;-1.45;48.22
243800745;6.12;45.04
200071991;3.15;49.30
245700372;6.92;49.15
247200090;-0.29;47.83
200005932;1.94;47.73
245700133;6.56;49.06
241300417;4.64;43.56
200071751;5.23;46.28
248500464;-0.85;46.78
200072668;0.46;47.08
200071512;2.83;46.35
200067031;-1.49;49.24
200034064;1.89;44.08
200039709;4.03;47.63
243700754;0.63;47.38
200070688;-1.44;48.41
243901089;5.40;46.95
243500741;-1.99;47.67
200070449;1.22;49.54
200068955;-0.34;47.63
200072874;2.92;48.71
200066157;5.58;48.67
200040277;1.30;48.70
200072635;0.63;42.87
200073146;0.88;43.05
200042497;4.84;45.98
243600202;1.69;47.20
200040038;5.06;46.88
243100773;1.54;43.83
241800507;2.37;47.05
200072882;-1.56;46.80
245400601;6.12;48.77
200066165;5.35;49.06
200072643;0.74;43.23
247000854;6.62;47.82
249500109;2.06;49.04
200060473;1.26;41.80
200093201;3.03;50.64
200070662;-1.65;47.83
200071579;5.25;46.61
200067817;4.60;46.18
200039949;6.19;49.22
200069847;0.85;49.69
200068963;0.20;48.13
242504488;6.15;46.95
200030385;1.25;47.57
200036077;6.55;43.28
200041168;1.04;45.00
200073393;3.50;45.08
241200187;2.55;44.36
243100518;1.41;43.63
246700967;7.45;48.27
242600492;5.09;44.53
247600646;0.93;49.57
244100780;1.80;47.53
200072452;-1.21;48.38
200018653;-4.52;42.06
242600252;5.02;44.74
200071785;3.30;49.64
200023125;2.69;48.75
200067866;-1.30;47.21
240600585;7.02;43.73
244100798;1.57;47.61
247000623;5.66;47.60
200067064;2.27;44.58
200034098;6.71;46.09
200071546;-1.71;46.96
200067627;3.37;45.72
200040491;4.92;45.24
200072692;0.71;47.95
242504496;6.17;46.86
200068930;0.93;44.46
200070233;-1.33;46.97
200033025;5.23;48.74
243300811;-0.59;45.25
200030195;7.16;44.02
200068948;0.31;44.11
200040251;3.20;48.45
200013050;7.77;48.97
200023372;6.90;45.94
200073120;9.27;42.65
246000707;1.87;49.25
200033827;9.30;42.02
200067072;-4.10;48.64
240600551;7.53;43.99
200060457;1.32;41.93
247103765;4.81;46.61
200083392;-0.82;48.08
242300135;1.50;46.27
243600236;2.04;46.96
200071553;-0.57;47.34
200073138;9.12;42.39
200067635;-1.36;47.07
243500782;-1.90;48.60
200071314;1.16;43.74
200069854;0.36;46.55
241700517;-0.81;45.82
200042000;6.67;48.20
243100567;2.00;43.46
200072460;2.57;50.53
244000774;-0.28;43.88
200068997;6.48;45.70
246000756;3.03;49.61
200068757;6.39;48.17
200072676;0.35;48.28
200005957;6.65;48.36
242101509;5.20;47.06
200067874;7.77;48.81
200060465;1.23;42.04
200057875;2.44;48.89
200067049;8.79;42.19
200071363;3.57;46.10
200039519;1.28;44.33
200069821;0.44;49.74
243500550;-1.97;48.14
246000764;2.50;49.16
200069839;0.71;49.80
200072684;0.46;48.02
248300394;5.81;43.23
247600620;0.76;49.61
246700959;7.57;48.76
244000543;-1.17;44.18
242000503;9.00;42.02
200067841;7.13;48.92
200039758;3.85;47.48
200069615;5.53;46.78
243100781;1.22;43.60
248000747;2.63;50.03
200041150;1.15;45.17
200070464;6.32;45.23
200043156;4.27;49.49
244700449;0.23;44.68
200068765;5.85;44.33
200035814;-0.48;48.72
246500573;0.32;42.83
242900702;-4.25;47.85
247000664;6.51;47.66
248500258;-2.02;46.82
200071371;4.95;46.39
200067668;2.97;48.00
243301504;-0.99;44.72
200071587;0.95;47.05
248900664;3.54;48.20
200072015;4.65;45.25
200043123;-3.04;47.69
200067429;3.43;47.43
200040293;4.59;46.49
242900710;-4.32;47.96
200068989;-2.15;48.44
242500320;6.41;47.01
200073161;0.83;47.43
200070035;0.33;46.23
242100410;5.04;47.31
200033868;6.78;47.89
241200807;2.19;44.28
246000749;3.03;49.42
200071595;5.76;46.88
200065928;-3.41;48.69
200034957;1.41;43.81
240600593;7.36;43.84
240200501;3.54;49.37
243500139;-1.71;48.11
200072023;0.14;45.88
200057867;2.36;48.94
246900740;4.67;45.62
200034718;4.48;48.69
200060010;-0.96;47.23
200067437;6.23;44.11
200071116;5.56;46.66
243000585;4.56;43.77
245400676;6.19;48.67
200070043;0.79;46.38
200067080;3.76;47.75
200000925;5.20;47.22
246600548;2.55;42.44
200068500;3.22;50.14
246700777;7.28;48.34
200068799;-0.83;48.88
242500338;6.35;46.90
200072478;1.91;50.82
200068559;5.71;48.37
200067676;2.66;47.89
200034726;0.87;43.79
200069649;-0.52;43.67
248000531;2.29;49.88
240700716;4.59;45.15
200070282;0.16;45.39
200017846;2.13;48.39
